Codigo;descricao
TP62BM;Dep Suggar Vega 60CM 220V   C/Lum
AD2422PT;Adega Nantes Suggar 24 G 220V
CT2822BR;Centrifuga Suggar   Branca 220V
DP62IX;Depurador Orion 60CM Inox 220V
EF8662CXBR;Espremedor de Frutas Suggar 220V CX C/ 12
FE4222BR;Forno Eletrico Suggar Branco 42 Litros 220V
0105008;Suporte de fixacao do queimador 
GR2041CXIX;Grill Quad Suggar Inox 127V CX C/ 4
SG81BM;Dep.  Suggar  Star  Light Biturbo   80CM 127V  C/L
TP81BM;Dep Suggar Vega 80CM 127V    C/Lum
CH2701PT;Churrasqueira Grill 127V
5354243;Mola de Torque 1,5 MM
1105520;Pé dianteiro esquerdo Prata
1105518R;Pé  traseiro PR  Refugado
1105519R;Pé  dianteiro direito Prata Refugado
1105520R;Pé dianteiro esquerdo Prata Refugado
1105510R;Painel 4bcs Max  Plus PR Inox Refugado
1105511R;Painel 5bcs Max  Plus Prata Inox Refugado
CH2702PT;Churrasqueira Grill 220V
DP91IX;Depurador Orion 90CM Inox 127V
FE4221IX;Forno Eletrico Suggar Inox 42 Litros 127V
GR3621BR;Grill Red Sabor Suggar 36CM Branco 127V
JC8811IX;Juicer/Centrifuga Inox Suggar 127V
JR1001BR;Jarra Eletrica 1,0 L BR 127V
LQ2222PT;Liq. Suggar liqmax PT 220V C/ Filtro
MG1011BR;Maquina de Gelo Suggar Branca 127V
SD2022PT;Sanduicheira Suggar Preta 220V
4302BR;Lavadora Suggar  Top 4.3 kg 220V
1105512R;Puxador 4BcsPrata Inox Refugado
5154391;CEIA MARMITA
5154392;ALMOÇO E JANTAR MARMITA
9995BR;Expositor Branco p/ Coifa, vidio, Cook Top ou fogão
NL62BM;Dep.  Suggar  Novo   Legitimo  Biturbo   60CM 220V
PL61BR;Dep Suggar Antares  60CM 3Vel127V C/Lum
PL62BR;Dep Suggar Antares  60 CM 3 Vel 220V    C/Lum
SG61BM;Dep.  Suggar  Star  Light Biturbo 60CM  127V  C/Lu
BT9021BR;Batedeira Batmax 127V BR Suggar
CT2811BR;Centrifuga Suggar   Branca 127V
FE4221BR;Forno Eletrico Suggar Branco 42 Litros 127V
FG7505IX;Cooktop a gás Tripla Chama 5B Inox
FR4022CXBR;Ferro Elet Madri Suggar S/Fio 220V CX C/ 10
GR3031BR;Grill Petisco Suggar 30CM Branco 127V
LX6022BR;LAVAMAX SUGGAR 220V
PL82BR;Dep. Suggar Antares 80CM 3Vel 220V C/Lum
SG62BM;Dep.  Suggar  Star  Light Biturbo   60CM 220V  C/L
FGE2BVP;Fogao de Embutir a Gas 2B Vd  Preto
MG1011PR;Maquina de Gelo Suggar Prata 127V
MG1022BR;Maquina de Gelo Suggar Branca 220V
PI1008IX;Pia Inox Suggar 1 Bojo
PR42BIPT;Prancha P/ Cabelos Bivolt Suggar
FGE4BBR;Fogao de Embutir a Gas 4B Vd  Branco
0405034;Eletrodo fogão Inox 512mm
FT0041CXPT;Fritadeira Light Fry Touch Control PT 127V CAIXA MASTER
4301BR;Lavadora Suggar Top 4.3 kg 127V
4302MKBR;Lavad MK Tech 4.3 kg 220V
5511TBR;Lav/Tanq Suggar Turbilhao 127V
AD1922PT;Adega Climatizada Suggar Dijon 19G 220V
FE1002BR;Forno Elet Suggar A Limpante Branco 220V
NL82BR;Dep.  Suggar  Novo  Legitimo  Biturbo   80CM 220V
PL62BM;Dep. Suggar Antares 60CM 3 Vel. 220V C/Lum.
MP1802BR;Mini Processador de Alimentos Suggar 220V
PI2008IX;Pia Inox Suggar Bojo Duplo
PI2202IX;Pia Inox Suggar Bojo Duplo c/ Esfregador
PV5182BR;Passadeira a Vapor Suggar 220V
5001BR;Lav Suggar Top Max  5.0 kg 127V
5522TBR;Lav/Tanq Suggar Turbilhao 220V
CF1421PT;Cafeteira Suggar 14 Cafes 127V Preta
FGE4BIX;Fogao de Embutir a Gas 4B Inox
9996BM;Exp Suggar Preto para Fogao    Cook Top
NL81BM;Dep.  Suggar  Novo  Legitimo  Biturbo   80CM 127V
PL62EXBR;Dep Suggar Antares 60CM 220V 50HZ 3Vel C/Luminaria
